sample,date,volume,strain,temperature,nitrate,rep.flask,fluor,comments
Chsim_05/23/2016 13:25:00_L1-1-old_35_L1,05/23/2016 13:25,50ml,L1-1-old,35,L1,2,6.563,
Chsim_05/23/2016 13:25:00_L1-1-old_35_L1,05/23/2016 13:25,50ml,L1-1-old,35,L1,3,6.696,
Chsim_05/23/2016 13:25:00_L1-3_10_L1,05/23/2016 13:25,50ml,L1-3,10,L1,1,5.858,
Chsim_05/23/2016 13:25:00_L1-3_10_L1,05/23/2016 13:25,50ml,L1-3,10,L1,2,5.88,
Chsim_05/23/2016 13:25:00_L1-3_10_L1,05/23/2016 13:25,50ml,L1-3,10,L1,3,6.08,
Chsim_05/23/2016 13:25:00_L1-3_20_L1,05/23/2016 13:25,50ml,L1-3,20,L1,1,5.023,
Chsim_05/23/2016 13:25:00_L1-3_20_L1,05/23/2016 13:25,50ml,L1-3,20,L1,2,5.145,
Chsim_05/23/2016 13:25:00_L1-3_20_L1,05/23/2016 13:25,50ml,L1-3,20,L1,3,4.956,
Chsim_05/23/2016 13:25:00_L1-3_25_L1,05/23/2016 13:25,50ml,L1-3,25,L1,1,7.814,
Chsim_05/23/2016 13:25:00_L1-3_25_L1,05/23/2016 13:25,50ml,L1-3,25,L1,2,7.848,
Chsim_05/23/2016 13:25:00_L1-3_25_L1,05/23/2016 13:25,50ml,L1-3,25,L1,3,7.897,
Chsim_05/23/2016 13:25:00_L1-3_29_L1,05/23/2016 13:25,50ml,L1-3,29,L1,1,5.233,
Chsim_05/23/2016 13:25:00_L1-3_29_L1,05/23/2016 13:25,50ml,L1-3,29,L1,2,5.447,
Chsim_05/23/2016 13:25:00_L1-3_29_L1,05/23/2016 13:25,50ml,L1-3,29,L1,3,5.483,
Chsim_05/23/2016 13:25:00_L1-3_31_L1,05/23/2016 13:25,50ml,L1-3,31,L1,1,7.076,
Chsim_05/23/2016 13:25:00_L1-3_31_L1,05/23/2016 13:25,50ml,L1-3,31,L1,2,6.89,
Chsim_05/23/2016 13:25:00_L1-3_31_L1,05/23/2016 13:25,50ml,L1-3,31,L1,3,7.226,
Chsim_05/23/2016 13:25:00_L1-3_32_L1,05/23/2016 13:25,50ml,L1-3,32,L1,1,5.301,
Chsim_05/23/2016 13:25:00_L1-3_32_L1,05/23/2016 13:25,50ml,L1-3,32,L1,2,5.542,
Chsim_05/23/2016 13:25:00_L1-3_32_L1,05/23/2016 13:25,50ml,L1-3,32,L1,3,5.458,
Chsim_05/23/2016 13:25:00_L1-3_34_L1,05/23/2016 13:25,50ml,L1-3,34,L1,1,8.111,
Chsim_05/23/2016 13:25:00_L1-3_34_L1,05/23/2016 13:25,50ml,L1-3,34,L1,2,8.602,
Chsim_05/23/2016 13:25:00_L1-3_34_L1,05/23/2016 13:25,50ml,L1-3,34,L1,3,8.707,
Chsim_05/23/2016 13:25:00_L1-3_35_L1,05/23/2016 13:25,50ml,L1-3,35,L1,1,5.973,
Chsim_05/23/2016 13:25:00_L1-3_35_L1,05/23/2016 13:25,50ml,L1-3,35,L1,2,6.229,
Chsim_05/23/2016 13:25:00_L1-3_35_L1,05/23/2016 13:25,50ml,L1-3,35,L1,3,6.126,
Chsim_05/23/2016 13:25:00_Collect_10_L1,05/23/2016 13:25,50ml,Collect,10,L1,1,6.18,
Chsim_05/23/2016 13:25:00_Collect_10_L1,05/23/2016 13:25,50ml,Collect,10,L1,2,6.153,
Chsim_05/23/2016 13:25:00_Collect_10_L1,05/23/2016 13:25,50ml,Collect,10,L1,3,5.915,
Chsim_05/23/2016 13:25:00_Collect_20_L1,05/23/2016 13:25,50ml,Collect,20,L1,1,6.948,
Chsim_05/23/2016 13:25:00_Collect_20_L1,05/23/2016 13:25,50ml,Collect,20,L1,2,6.852,
Chsim_05/23/2016 13:25:00_Collect_20_L1,05/23/2016 13:25,50ml,Collect,20,L1,3,6.662,
Chsim_05/23/2016 13:25:00_Collect_25_L1,05/23/2016 13:25,50ml,Collect,25,L1,1,4.954,
Chsim_05/23/2016 13:25:00_Collect_25_L1,05/23/2016 13:25,50ml,Collect,25,L1,2,5.004,
Chsim_05/23/2016 13:25:00_Collect_25_L1,05/23/2016 13:25,50ml,Collect,25,L1,3,4.967,
Chsim_05/23/2016 13:25:00_Collect_29_L1,05/23/2016 13:25,50ml,Collect,29,L1,1,5.754,
Chsim_05/23/2016 13:25:00_Collect_29_L1,05/23/2016 13:25,50ml,Collect,29,L1,2,5.649,
Chsim_05/23/2016 13:25:00_Collect_29_L1,05/23/2016 13:25,50ml,Collect,29,L1,3,6.178,
Chsim_05/23/2016 13:25:00_Collect_31_L1,05/23/2016 13:25,50ml,Collect,31,L1,1,4.469,
Chsim_05/23/2016 13:25:00_Collect_31_L1,05/23/2016 13:25,50ml,Collect,31,L1,2,4.595,
Chsim_05/23/2016 13:25:00_Collect_31_L1,05/23/2016 13:25,50ml,Collect,31,L1,3,4.516,
Chsim_05/23/2016 13:25:00_Collect_32_L1,05/23/2016 13:25,50ml,Collect,32,L1,1,6.524,
Chsim_05/23/2016 13:25:00_Collect_32_L1,05/23/2016 13:25,50ml,Collect,32,L1,2,6.702,
Chsim_05/23/2016 13:25:00_Collect_32_L1,05/23/2016 13:25,50ml,Collect,32,L1,3,6.611,
Chsim_05/23/2016 13:25:00_Collect_34_L1,05/23/2016 13:25,50ml,Collect,34,L1,1,4.826,
Chsim_05/23/2016 13:25:00_Collect_34_L1,05/23/2016 13:25,50ml,Collect,34,L1,2,4.962,
Chsim_05/23/2016 13:25:00_Collect_34_L1,05/23/2016 13:25,50ml,Collect,34,L1,3,5.135,
Chsim_05/23/2016 13:25:00_Collect_35_L1,05/23/2016 13:25,50ml,Collect,35,L1,1,0.801,
Chsim_05/23/2016 13:25:00_Collect_35_L1,05/23/2016 13:25,50ml,Collect,35,L1,2,0.731,
Chsim_05/23/2016 13:25:00_Collect_35_L1,05/23/2016 13:25,50ml,Collect,35,L1,3,0.708,
Chsim_05/23/2016 13:25:00_ANCL1-1_10_L1,05/23/2016 13:25,50ml,ANCL1-1,10,L1,1,5.743,
Chsim_05/23/2016 13:25:00_ANCL1-1_10_L1,05/23/2016 13:25,50ml,ANCL1-1,10,L1,2,5.801,
Chsim_05/23/2016 13:25:00_ANCL1-1_10_L1,05/23/2016 13:25,50ml,ANCL1-1,10,L1,3,5.693,
Chsim_05/23/2016 13:25:00_ANCL1-1_20_L1,05/23/2016 13:25,50ml,ANCL1-1,20,L1,1,7.123,
Chsim_05/23/2016 13:25:00_ANCL1-1_20_L1,05/23/2016 13:25,50ml,ANCL1-1,20,L1,2,7.035,
Chsim_05/23/2016 13:25:00_ANCL1-1_20_L1,05/23/2016 13:25,50ml,ANCL1-1,20,L1,3,7.217,
Chsim_05/23/2016 13:25:00_ANCL1-1_25_L1,05/23/2016 13:25,50ml,ANCL1-1,25,L1,1,8.847,
Chsim_05/23/2016 13:25:00_ANCL1-1_25_L1,05/23/2016 13:25,50ml,ANCL1-1,25,L1,2,8.787,
Chsim_05/23/2016 13:25:00_ANCL1-1_25_L1,05/23/2016 13:25,50ml,ANCL1-1,25,L1,3,9.034,
Chsim_05/23/2016 13:25:00_ANCL1-1_29_L1,05/23/2016 13:25,50ml,ANCL1-1,29,L1,1,8.916,
Chsim_05/23/2016 13:25:00_ANCL1-1_29_L1,05/23/2016 13:25,50ml,ANCL1-1,29,L1,2,9.193,
Chsim_05/23/2016 13:25:00_ANCL1-1_29_L1,05/23/2016 13:25,50ml,ANCL1-1,29,L1,3,8.712,
Chsim_05/23/2016 13:25:00_ANCL1-1_31_L1,05/23/2016 13:25,50ml,ANCL1-1,31,L1,1,6.79,
Chsim_05/23/2016 13:25:00_ANCL1-1_31_L1,05/23/2016 13:25,50ml,ANCL1-1,31,L1,2,6.976,
Chsim_05/23/2016 13:25:00_ANCL1-1_31_L1,05/23/2016 13:25,50ml,ANCL1-1,31,L1,3,7.089,
Chsim_05/23/2016 13:25:00_ANCL1-1_32_L1,05/23/2016 13:25,50ml,ANCL1-1,32,L1,1,7.964,
Chsim_05/23/2016 13:25:00_ANCL1-1_32_L1,05/23/2016 13:25,50ml,ANCL1-1,32,L1,2,8.43,
Chsim_05/23/2016 13:25:00_ANCL1-1_32_L1,05/23/2016 13:25,50ml,ANCL1-1,32,L1,3,8.222,
Chsim_05/23/2016 13:25:00_ANCL1-1_34_L1,05/23/2016 13:25,50ml,ANCL1-1,34,L1,1,5.285,
Chsim_05/23/2016 13:25:00_ANCL1-1_34_L1,05/23/2016 13:25,50ml,ANCL1-1,34,L1,2,5.38,
Chsim_05/23/2016 13:25:00_ANCL1-1_34_L1,05/23/2016 13:25,50ml,ANCL1-1,34,L1,3,5.61,
Chsim_05/23/2016 13:25:00_ANCL1-1_35_L1,05/23/2016 13:25,50ml,ANCL1-1,35,L1,1,2.335,
Chsim_05/23/2016 13:25:00_ANCL1-1_35_L1,05/23/2016 13:25,50ml,ANCL1-1,35,L1,2,2.496,
Chsim_05/23/2016 13:25:00_ANCL1-1_35_L1,05/23/2016 13:25,50ml,ANCL1-1,35,L1,3,2.545,
Chsim_05/24/2016 13:25:00_L1-1-old_10_L1,05/24/2016 13:25,50ml,L1-1-old,10,L1,1,3.646,
Chsim_05/24/2016 13:25:00_L1-1-old_10_L1,05/24/2016 13:25,50ml,L1-1-old,10,L1,2,3.365,
Chsim_05/24/2016 13:25:00_L1-1-old_10_L1,05/24/2016 13:25,50ml,L1-1-old,10,L1,3,3.134,
Chsim_05/24/2016 13:25:00_L1-1-old_20_L1,05/24/2016 13:25,50ml,L1-1-old,20,L1,1,8.356,
Chsim_05/24/2016 13:25:00_L1-1-old_20_L1,05/24/2016 13:25,50ml,L1-1-old,20,L1,2,8.292,
Chsim_05/24/2016 13:25:00_L1-1-old_20_L1,05/24/2016 13:25,50ml,L1-1-old,20,L1,3,8.641,
Chsim_05/24/2016 13:25:00_L1-1-old_25_L1,05/24/2016 13:25,50ml,L1-1-old,25,L1,1,23.126,
Chsim_05/24/2016 13:25:00_L1-1-old_25_L1,05/24/2016 13:25,50ml,L1-1-old,25,L1,2,21.451,
Chsim_05/24/2016 13:25:00_L1-1-old_25_L1,05/24/2016 13:25,50ml,L1-1-old,25,L1,3,23.813,
Chsim_05/24/2016 13:25:00_L1-1-old_29_L1,05/24/2016 13:25,50ml,L1-1-old,29,L1,1,12.574,
Chsim_05/24/2016 13:25:00_L1-1-old_29_L1,05/24/2016 13:25,50ml,L1-1-old,29,L1,2,12.514,
Chsim_05/24/2016 13:25:00_L1-1-old_29_L1,05/24/2016 13:25,50ml,L1-1-old,29,L1,3,12.599,
Chsim_05/24/2016 13:25:00_L1-1-old_31_L1,05/24/2016 13:25,50ml,L1-1-old,31,L1,1,11.335,
Chsim_05/24/2016 13:25:00_L1-1-old_31_L1,05/24/2016 13:25,50ml,L1-1-old,31,L1,2,11.673,
Chsim_05/24/2016 13:25:00_L1-1-old_31_L1,05/24/2016 13:25,50ml,L1-1-old,31,L1,3,12.807,
Chsim_05/24/2016 13:25:00_L1-1-old_32_L1,05/24/2016 13:25,50ml,L1-1-old,32,L1,1,17.722,
Chsim_05/24/2016 13:25:00_L1-1-old_32_L1,05/24/2016 13:25,50ml,L1-1-old,32,L1,2,18.328,
Chsim_05/24/2016 13:25:00_L1-1-old_32_L1,05/24/2016 13:25,50ml,L1-1-old,32,L1,3,18.714,
Chsim_05/24/2016 13:25:00_L1-1-old_34_L1,05/24/2016 13:25,50ml,L1-1-old,34,L1,1,20.697,
Chsim_05/24/2016 13:25:00_L1-1-old_34_L1,05/24/2016 13:25,50ml,L1-1-old,34,L1,2,21.155,
Chsim_05/24/2016 13:25:00_L1-1-old_34_L1,05/24/2016 13:25,50ml,L1-1-old,34,L1,3,22.115,
Chsim_05/24/2016 13:25:00_L1-1-old_35_L1,05/24/2016 13:25,50ml,L1-1-old,35,L1,1,9.306,
Chsim_05/24/2016 13:25:00_L1-1-old_35_L1,05/24/2016 13:25,50ml,L1-1-old,35,L1,2,8.978,
Chsim_05/24/2016 13:25:00_L1-1-old_35_L1,05/24/2016 13:25,50ml,L1-1-old,35,L1,3,9.674,
Chsim_05/24/2016 13:25:00_L1-3_10_L1,05/24/2016 13:25,50ml,L1-3,10,L1,1,4.374,
Chsim_05/24/2016 13:25:00_L1-3_10_L1,05/24/2016 13:25,50ml,L1-3,10,L1,2,7.298,
Chsim_05/24/2016 13:25:00_L1-3_10_L1,05/24/2016 13:25,50ml,L1-3,10,L1,3,4.331,
Chsim_05/24/2016 13:25:00_L1-3_20_L1,05/24/2016 13:25,50ml,L1-3,20,L1,1,10.383,
Chsim_05/24/2016 13:25:00_L1-3_20_L1,05/24/2016 13:25,50ml,L1-3,20,L1,2,10.075,
Chsim_05/24/2016 13:25:00_L1-3_20_L1,05/24/2016 13:25,50ml,L1-3,20,L1,3,9.962,
Chsim_05/24/2016 13:25:00_L1-3_25_L1,05/24/2016 13:25,50ml,L1-3,25,L1,1,21.979,
Chsim_05/24/2016 13:25:00_L1-3_25_L1,05/24/2016 13:25,50ml,L1-3,25,L1,2,22.261,
Chsim_05/24/2016 13:25:00_L1-3_25_L1,05/24/2016 13:25,50ml,L1-3,25,L1,3,24.439,
Chsim_05/24/2016 13:25:00_L1-3_29_L1,05/24/2016 13:25,50ml,L1-3,29,L1,1,13.454,
Chsim_05/24/2016 13:25:00_L1-3_29_L1,05/24/2016 13:25,50ml,L1-3,29,L1,2,13.338,
Chsim_05/24/2016 13:25:00_L1-3_29_L1,05/24/2016 13:25,50ml,L1-3,29,L1,3,13.835,
Chsim_05/24/2016 13:25:00_L1-3_31_L1,05/24/2016 13:25,50ml,L1-3,31,L1,1,20.145,
Chsim_05/24/2016 13:25:00_L1-3_31_L1,05/24/2016 13:25,50ml,L1-3,31,L1,2,22.538,
Chsim_05/24/2016 13:25:00_L1-3_31_L1,05/24/2016 13:25,50ml,L1-3,31,L1,3,23.532,
Chsim_05/24/2016 13:25:00_L1-3_32_L1,05/24/2016 13:25,50ml,L1-3,32,L1,1,17.278,
Chsim_05/24/2016 13:25:00_L1-3_32_L1,05/24/2016 13:25,50ml,L1-3,32,L1,2,17.484,
Chsim_05/24/2016 13:25:00_L1-3_32_L1,05/24/2016 13:25,50ml,L1-3,32,L1,3,18.746,
Chsim_05/24/2016 13:25:00_L1-3_34_L1,05/24/2016 13:25,50ml,L1-3,34,L1,1,16.974,
Chsim_05/24/2016 13:25:00_L1-3_34_L1,05/24/2016 13:25,50ml,L1-3,34,L1,2,17.888,
Chsim_05/24/2016 13:25:00_L1-3_34_L1,05/24/2016 13:25,50ml,L1-3,34,L1,3,19.287,
Chsim_05/24/2016 13:25:00_L1-3_35_L1,05/24/2016 13:25,50ml,L1-3,35,L1,1,8.703,
Chsim_05/24/2016 13:25:00_L1-3_35_L1,05/24/2016 13:25,50ml,L1-3,35,L1,2,8.317,
Chsim_05/24/2016 13:25:00_L1-3_35_L1,05/24/2016 13:25,50ml,L1-3,35,L1,3,8.499,
Chsim_05/24/2016 13:25:00_Collect_10_L1,05/24/2016 13:25,50ml,Collect,10,L1,1,3.457,
Chsim_05/24/2016 13:25:00_Collect_10_L1,05/24/2016 13:25,50ml,Collect,10,L1,2,3.543,
Chsim_05/24/2016 13:25:00_Collect_10_L1,05/24/2016 13:25,50ml,Collect,10,L1,3,3.301,
Chsim_05/24/2016 13:25:00_Collect_20_L1,05/24/2016 13:25,50ml,Collect,20,L1,1,14.814,
Chsim_05/24/2016 13:25:00_Collect_20_L1,05/24/2016 13:25,50ml,Collect,20,L1,2,15.213,
Chsim_05/24/2016 13:25:00_Collect_20_L1,05/24/2016 13:25,50ml,Collect,20,L1,3,15.113,
Chsim_05/24/2016 13:25:00_Collect_25_L1,05/24/2016 13:25,50ml,Collect,25,L1,1,16.107,
Chsim_05/24/2016 13:25:00_Collect_25_L1,05/24/2016 13:25,50ml,Collect,25,L1,2,15.777,
Chsim_05/24/2016 13:25:00_Collect_25_L1,05/24/2016 13:25,50ml,Collect,25,L1,3,15.923,
Chsim_05/24/2016 13:25:00_Collect_29_L1,05/24/2016 13:25,50ml,Collect,29,L1,1,15.482,
Chsim_05/24/2016 13:25:00_Collect_29_L1,05/24/2016 13:25,50ml,Collect,29,L1,2,15.295,
Chsim_05/24/2016 13:25:00_Collect_29_L1,05/24/2016 13:25,50ml,Collect,29,L1,3,15.003,
Chsim_05/24/2016 13:25:00_Collect_31_L1,05/24/2016 13:25,50ml,Collect,31,L1,1,10.68,
Chsim_05/24/2016 13:25:00_Collect_31_L1,05/24/2016 13:25,50ml,Collect,31,L1,2,11.924,
Chsim_05/24/2016 13:25:00_Collect_31_L1,05/24/2016 13:25,50ml,Collect,31,L1,3,12.386,
Chsim_05/24/2016 13:25:00_Collect_32_L1,05/24/2016 13:25,50ml,Collect,32,L1,1,12.585,
Chsim_05/24/2016 13:25:00_Collect_32_L1,05/24/2016 13:25,50ml,Collect,32,L1,2,13.403,
Chsim_05/24/2016 13:25:00_Collect_32_L1,05/24/2016 13:25,50ml,Collect,32,L1,3,13.158,
Chsim_05/24/2016 13:25:00_Collect_34_L1,05/24/2016 13:25,50ml,Collect,34,L1,1,3.229,
Chsim_05/24/2016 13:25:00_Collect_34_L1,05/24/2016 13:25,50ml,Collect,34,L1,2,3.445,
Chsim_05/24/2016 13:25:00_Collect_34_L1,05/24/2016 13:25,50ml,Collect,34,L1,3,3.026,
Chsim_05/24/2016 13:25:00_Collect_35_L1,05/24/2016 13:25,50ml,Collect,35,L1,1,0.717,
Chsim_05/24/2016 13:25:00_Collect_35_L1,05/24/2016 13:25,50ml,Collect,35,L1,2,0.691,
Chsim_05/24/2016 13:25:00_Collect_35_L1,05/24/2016 13:25,50ml,Collect,35,L1,3,0.666,
Chsim_05/24/2016 13:25:00_ANCL1-1_10_L1,05/24/2016 13:25,50ml,ANCL1-1,10,L1,1,3.085,
Chsim_05/24/2016 13:25:00_ANCL1-1_10_L1,05/24/2016 13:25,50ml,ANCL1-1,10,L1,2,2.959,
Chsim_05/24/2016 13:25:00_ANCL1-1_10_L1,05/24/2016 13:25,50ml,ANCL1-1,10,L1,3,3.093,
Chsim_05/24/2016 13:25:00_ANCL1-1_20_L1,05/24/2016 13:25,50ml,ANCL1-1,20,L1,1,13.307,
Chsim_05/24/2016 13:25:00_ANCL1-1_20_L1,05/24/2016 13:25,50ml,ANCL1-1,20,L1,2,13.03,
Chsim_05/24/2016 13:25:00_ANCL1-1_20_L1,05/24/2016 13:25,50ml,ANCL1-1,20,L1,3,13.204,
Chsim_05/24/2016 13:25:00_ANCL1-1_25_L1,05/24/2016 13:25,50ml,ANCL1-1,25,L1,1,26.646,
Chsim_05/24/2016 13:25:00_ANCL1-1_25_L1,05/24/2016 13:25,50ml,ANCL1-1,25,L1,2,25.946,
Chsim_05/24/2016 13:25:00_ANCL1-1_25_L1,05/24/2016 13:25,50ml,ANCL1-1,25,L1,3,27.357,
Chsim_05/24/2016 13:25:00_ANCL1-1_29_L1,05/24/2016 13:25,50ml,ANCL1-1,29,L1,1,23.751,
Chsim_05/24/2016 13:25:00_ANCL1-1_29_L1,05/24/2016 13:25,50ml,ANCL1-1,29,L1,2,23.307,
Chsim_05/24/2016 13:25:00_ANCL1-1_29_L1,05/24/2016 13:25,50ml,ANCL1-1,29,L1,3,23.74,
Chsim_05/24/2016 13:25:00_ANCL1-1_31_L1,05/24/2016 13:25,50ml,ANCL1-1,31,L1,1,19.338,
Chsim_05/24/2016 13:25:00_ANCL1-1_31_L1,05/24/2016 13:25,50ml,ANCL1-1,31,L1,2,21.09,
Chsim_05/24/2016 13:25:00_ANCL1-1_31_L1,05/24/2016 13:25,50ml,ANCL1-1,31,L1,3,22.882,
Chsim_05/24/2016 13:25:00_ANCL1-1_32_L1,05/24/2016 13:25,50ml,ANCL1-1,32,L1,1,15.18,
Chsim_05/24/2016 13:25:00_ANCL1-1_32_L1,05/24/2016 13:25,50ml,ANCL1-1,32,L1,2,15.697,
Chsim_05/24/2016 13:25:00_ANCL1-1_32_L1,05/24/2016 13:25,50ml,ANCL1-1,32,L1,3,15.783,
Chsim_05/24/2016 13:25:00_ANCL1-1_34_L1,05/24/2016 13:25,50ml,ANCL1-1,34,L1,1,3.77,
Chsim_05/24/2016 13:25:00_ANCL1-1_34_L1,05/24/2016 13:25,50ml,ANCL1-1,34,L1,2,3.781,
Chsim_05/24/2016 13:25:00_ANCL1-1_34_L1,05/24/2016 13:25,50ml,ANCL1-1,34,L1,3,4.227,
Chsim_05/24/2016 13:25:00_ANCL1-1_35_L1,05/24/2016 13:25,50ml,ANCL1-1,35,L1,1,1.12,
Chsim_05/24/2016 13:25:00_ANCL1-1_35_L1,05/24/2016 13:25,50ml,ANCL1-1,35,L1,2,1.076,
Chsim_05/24/2016 13:25:00_ANCL1-1_35_L1,05/24/2016 13:25,50ml,ANCL1-1,35,L1,3,1.123,
Chsim_05/25/2016 11:45:00_L1-1-old_10_L1,05/25/2016 11:45,50ml,L1-1-old,10,L1,1,3.899,
Chsim_05/25/2016 11:45:00_L1-1-old_10_L1,05/25/2016 11:45,50ml,L1-1-old,10,L1,2,3.864,
Chsim_05/25/2016 11:45:00_L1-1-old_10_L1,05/25/2016 11:45,50ml,L1-1-old,10,L1,3,3.478,
Chsim_05/25/2016 11:45:00_L1-1-old_20_L1,05/25/2016 11:45,50ml,L1-1-old,20,L1,1,17.805,
Chsim_05/25/2016 11:45:00_L1-1-old_20_L1,05/25/2016 11:45,50ml,L1-1-old,20,L1,2,18.687,
Chsim_05/25/2016 11:45:00_L1-1-old_20_L1,05/25/2016 11:45,50ml,L1-1-old,20,L1,3,19.126,
Chsim_05/25/2016 11:45:00_L1-1-old_25_L1,05/25/2016 11:45,50ml,L1-1-old,25,L1,1,62.412,
Chsim_05/25/2016 11:45:00_L1-1-old_25_L1,05/25/2016 11:45,50ml,L1-1-old,25,L1,2,59.771,
Chsim_05/25/2016 11:45:00_L1-1-old_25_L1,05/25/2016 11:45,50ml,L1-1-old,25,L1,3,66.23,
Chsim_05/25/2016 11:45:00_L1-1-old_29_L1,05/25/2016 11:45,50ml,L1-1-old,29,L1,1,41.386,
Chsim_05/25/2016 11:45:00_L1-1-old_29_L1,05/25/2016 11:45,50ml,L1-1-old,29,L1,2,41.44,
Chsim_05/25/2016 11:45:00_L1-1-old_29_L1,05/25/2016 11:45,50ml,L1-1-old,29,L1,3,40.583,
Chsim_05/25/2016 11:45:00_L1-1-old_31_L1,05/25/2016 11:45,50ml,L1-1-old,31,L1,1,40.434,
Chsim_05/25/2016 11:45:00_L1-1-old_31_L1,05/25/2016 11:45,50ml,L1-1-old,31,L1,2,39.87,
Chsim_05/25/2016 11:45:00_L1-1-old_31_L1,05/25/2016 11:45,50ml,L1-1-old,31,L1,3,45.753,
Chsim_05/25/2016 11:45:00_L1-1-old_32_L1,05/25/2016 11:45,50ml,L1-1-old,32,L1,1,57.501,
Chsim_05/25/2016 11:45:00_L1-1-old_32_L1,05/25/2016 11:45,50ml,L1-1-old,32,L1,2,58.523,
Chsim_05/25/2016 11:45:00_L1-1-old_32_L1,05/25/2016 11:45,50ml,L1-1-old,32,L1,3,58.769,
Chsim_05/25/2016 11:45:00_L1-1-old_34_L1,05/25/2016 11:45,50ml,L1-1-old,34,L1,1,50.981,
Chsim_05/25/2016 11:45:00_L1-1-old_34_L1,05/25/2016 11:45,50ml,L1-1-old,34,L1,2,58.084,
Chsim_05/25/2016 11:45:00_L1-1-old_34_L1,05/25/2016 11:45,50ml,L1-1-old,34,L1,3,60.436,
Chsim_05/25/2016 11:45:00_L1-1-old_35_L1,05/25/2016 11:45,50ml,L1-1-old,35,L1,1,13.342,
Chsim_05/25/2016 11:45:00_L1-1-old_35_L1,05/25/2016 11:45,50ml,L1-1-old,35,L1,2,13.301,
Chsim_05/25/2016 11:45:00_L1-1-old_35_L1,05/25/2016 11:45,50ml,L1-1-old,35,L1,3,14.821,
Chsim_05/25/2016 11:45:00_L1-3_10_L1,05/25/2016 11:45,50ml,L1-3,10,L1,1,5.031,
Chsim_05/25/2016 11:45:00_L1-3_10_L1,05/25/2016 11:45,50ml,L1-3,10,L1,2,4.921,
Chsim_05/25/2016 11:45:00_L1-3_10_L1,05/25/2016 11:45,50ml,L1-3,10,L1,3,5.222,
Chsim_05/25/2016 11:45:00_L1-3_20_L1,05/25/2016 11:45,50ml,L1-3,20,L1,1,25.182,
Chsim_05/25/2016 11:45:00_L1-3_20_L1,05/25/2016 11:45,50ml,L1-3,20,L1,2,24.483,
Chsim_05/25/2016 11:45:00_L1-3_20_L1,05/25/2016 11:45,50ml,L1-3,20,L1,3,25.495,
Chsim_05/25/2016 11:45:00_L1-3_25_L1,05/25/2016 11:45,50ml,L1-3,25,L1,1,64.082,
Chsim_05/25/2016 11:45:00_L1-3_25_L1,05/25/2016 11:45,50ml,L1-3,25,L1,2,66.252,
