sample,date,strain,temperature,nitrate,rep.well,fluor,comments
Chsim_01/23/Saturday 14:18:00_L1-2_12_5,01/23/2016 14:18,L1-2,12,5,3,3.780,
Chsim_01/23/Saturday 14:18:00_L1-2_12_5,01/23/2016 14:18,L1-2,12,5,4,4.097,
Chsim_01/23/Saturday 14:18:00_L1-2_20_L1,01/23/2016 14:18,L1-2,20,L1,1,24.336,
Chsim_01/23/Saturday 14:18:00_L1-2_20_L1,01/23/2016 14:18,L1-2,20,L1,2,24.421,
Chsim_01/23/Saturday 14:18:00_L1-2_20_L1,01/23/2016 14:18,L1-2,20,L1,3,25.037,
Chsim_01/23/Saturday 14:18:00_L1-2_20_L1,01/23/2016 14:18,L1-2,20,L1,4,25.518,
Chsim_01/23/Saturday 14:18:00_L1-2_20_5,01/23/2016 14:18,L1-2,20,5,1,3.568,
Chsim_01/23/Saturday 14:18:00_L1-2_20_5,01/23/2016 14:18,L1-2,20,5,2,3.568,
Chsim_01/23/Saturday 14:18:00_L1-2_20_5,01/23/2016 14:18,L1-2,20,5,3,3.701,
Chsim_01/23/Saturday 14:18:00_L1-2_20_5,01/23/2016 14:18,L1-2,20,5,4,3.764,
Chsim_01/23/Saturday 14:18:00_L1-2_25_L1,01/23/2016 14:18,L1-2,25,L1,1,27.121,
Chsim_01/23/Saturday 14:18:00_L1-2_25_L1,01/23/2016 14:18,L1-2,25,L1,2,28.311,
Chsim_01/23/Saturday 14:18:00_L1-2_25_L1,01/23/2016 14:18,L1-2,25,L1,3,29.324,
Chsim_01/23/Saturday 14:18:00_L1-2_25_L1,01/23/2016 14:18,L1-2,25,L1,4,27.435,
Chsim_01/23/Saturday 14:18:00_L1-2_25_5,01/23/2016 14:18,L1-2,25,5,1,3.264,
Chsim_01/23/Saturday 14:18:00_L1-2_25_5,01/23/2016 14:18,L1-2,25,5,2,3.413,
Chsim_01/23/Saturday 14:18:00_L1-2_25_5,01/23/2016 14:18,L1-2,25,5,3,3.397,
Chsim_01/23/Saturday 14:18:00_L1-2_25_5,01/23/2016 14:18,L1-2,25,5,4,3.438,
Chsim_01/23/Saturday 14:18:00_L1-2_29_L1,01/23/2016 14:18,L1-2,29,L1,1,27.373,
Chsim_01/23/Saturday 14:18:00_L1-2_29_L1,01/23/2016 14:18,L1-2,29,L1,2,27.382,
Chsim_01/23/Saturday 14:18:00_L1-2_29_L1,01/23/2016 14:18,L1-2,29,L1,3,27.520,
Chsim_01/23/Saturday 14:18:00_L1-2_29_L1,01/23/2016 14:18,L1-2,29,L1,4,27.887,
Chsim_01/23/Saturday 14:18:00_L1-2_29_5,01/23/2016 14:18,L1-2,29,5,1,2.964,
Chsim_01/23/Saturday 14:18:00_L1-2_29_5,01/23/2016 14:18,L1-2,29,5,2,2.894,
Chsim_01/23/Saturday 14:18:00_L1-2_29_5,01/23/2016 14:18,L1-2,29,5,3,2.936,
Chsim_01/23/Saturday 14:18:00_L1-2_29_5,01/23/2016 14:18,L1-2,29,5,4,2.928,
Chsim_01/23/Saturday 14:18:00_L1-2_31_L1,01/23/2016 14:18,L1-2,31,L1,1,23.650,
Chsim_01/23/Saturday 14:18:00_L1-2_31_L1,01/23/2016 14:18,L1-2,31,L1,2,25.168,
Chsim_01/23/Saturday 14:18:00_L1-2_31_L1,01/23/2016 14:18,L1-2,31,L1,3,24.998,
Chsim_01/23/Saturday 14:18:00_L1-2_31_L1,01/23/2016 14:18,L1-2,31,L1,4,24.619,
Chsim_01/23/Saturday 14:18:00_L1-2_31_5,01/23/2016 14:18,L1-2,31,5,1,3.072,
Chsim_01/23/Saturday 14:18:00_L1-2_31_5,01/23/2016 14:18,L1-2,31,5,2,3.455,
Chsim_01/23/Saturday 14:18:00_L1-2_31_5,01/23/2016 14:18,L1-2,31,5,3,3.138,
Chsim_01/23/Saturday 14:18:00_L1-2_31_5,01/23/2016 14:18,L1-2,31,5,4,3.229,
Chsim_01/23/Saturday 14:18:00_L1-2_32_L1,01/23/2016 14:18,L1-2,32,L1,1,20.694,
Chsim_01/23/Saturday 14:18:00_L1-2_32_L1,01/23/2016 14:18,L1-2,32,L1,2,20.784,
Chsim_01/23/Saturday 14:18:00_L1-2_32_L1,01/23/2016 14:18,L1-2,32,L1,3,22.841,
Chsim_01/23/Saturday 14:18:00_L1-2_32_L1,01/23/2016 14:18,L1-2,32,L1,4,21.203,
Chsim_01/23/Saturday 14:18:00_L1-2_32_5,01/23/2016 14:18,L1-2,32,5,1,3.220,
Chsim_01/23/Saturday 14:18:00_L1-2_32_5,01/23/2016 14:18,L1-2,32,5,2,3.753,
Chsim_01/23/Saturday 14:18:00_L1-2_32_5,01/23/2016 14:18,L1-2,32,5,3,3.125,
Chsim_01/23/Saturday 14:18:00_L1-2_32_5,01/23/2016 14:18,L1-2,32,5,4,3.406,
Chsim_01/23/Saturday 14:18:00_L1-2_34_L1,01/23/2016 14:18,L1-2,34,L1,1,11.249,
Chsim_01/23/Saturday 14:18:00_L1-2_34_L1,01/23/2016 14:18,L1-2,34,L1,2,11.713,
Chsim_01/23/Saturday 14:18:00_L1-2_34_L1,01/23/2016 14:18,L1-2,34,L1,3,11.504,
Chsim_01/23/Saturday 14:18:00_L1-2_34_L1,01/23/2016 14:18,L1-2,34,L1,4,11.629,
Chsim_01/23/Saturday 14:18:00_L1-2_34_5,01/23/2016 14:18,L1-2,34,5,1,4.977,
Chsim_01/23/Saturday 14:18:00_L1-2_34_5,01/23/2016 14:18,L1-2,34,5,2,5.321,
Chsim_01/23/Saturday 14:18:00_L1-2_34_5,01/23/2016 14:18,L1-2,34,5,3,4.868,
Chsim_01/23/Saturday 14:18:00_L1-2_34_5,01/23/2016 14:18,L1-2,34,5,4,5.093,
Chsim_01/23/Saturday 14:45:00_L1-3_12_L1,01/23/2016 14:45,L1-3,12,L1,1,16.695,
Chsim_01/23/Saturday 14:45:00_L1-3_12_L1,01/23/2016 14:45,L1-3,12,L1,2,16.830,
Chsim_01/23/Saturday 14:45:00_L1-3_12_L1,01/23/2016 14:45,L1-3,12,L1,3,16.544,
Chsim_01/23/Saturday 14:45:00_L1-3_12_L1,01/23/2016 14:45,L1-3,12,L1,4,16.583,
Chsim_01/23/Saturday 14:45:00_L1-3_12_5,01/23/2016 14:45,L1-3,12,5,1,5.134,
Chsim_01/23/Saturday 14:45:00_L1-3_12_5,01/23/2016 14:45,L1-3,12,5,2,5.497,
Chsim_01/23/Saturday 14:45:00_L1-3_12_5,01/23/2016 14:45,L1-3,12,5,3,5.337,
Chsim_01/23/Saturday 14:45:00_L1-3_12_5,01/23/2016 14:45,L1-3,12,5,4,5.466,
Chsim_01/23/Saturday 14:45:00_L1-3_20_L1,01/23/2016 14:45,L1-3,20,L1,1,24.865,
Chsim_01/23/Saturday 14:45:00_L1-3_20_L1,01/23/2016 14:45,L1-3,20,L1,2,25.364,
Chsim_01/23/Saturday 14:45:00_L1-3_20_L1,01/23/2016 14:45,L1-3,20,L1,3,26.025,
Chsim_01/23/Saturday 14:45:00_L1-3_20_L1,01/23/2016 14:45,L1-3,20,L1,4,25.970,
Chsim_01/23/Saturday 14:45:00_L1-3_20_5,01/23/2016 14:45,L1-3,20,5,1,3.064,
Chsim_01/23/Saturday 14:45:00_L1-3_20_5,01/23/2016 14:45,L1-3,20,5,2,3.128,
Chsim_01/23/Saturday 14:45:00_L1-3_20_5,01/23/2016 14:45,L1-3,20,5,3,3.135,
Chsim_01/23/Saturday 14:45:00_L1-3_20_5,01/23/2016 14:45,L1-3,20,5,4,3.306,
Chsim_01/23/Saturday 14:45:00_L1-3_25_L1,01/23/2016 14:45,L1-3,25,L1,1,29.532,
Chsim_01/23/Saturday 14:45:00_L1-3_25_L1,01/23/2016 14:45,L1-3,25,L1,2,30.255,
Chsim_01/23/Saturday 14:45:00_L1-3_25_L1,01/23/2016 14:45,L1-3,25,L1,3,32.323,
Chsim_01/23/Saturday 14:45:00_L1-3_25_L1,01/23/2016 14:45,L1-3,25,L1,4,32.068,
Chsim_01/23/Saturday 14:45:00_L1-3_25_5,01/23/2016 14:45,L1-3,25,5,1,2.879,
Chsim_01/23/Saturday 14:45:00_L1-3_25_5,01/23/2016 14:45,L1-3,25,5,2,3.232,
Chsim_01/23/Saturday 14:45:00_L1-3_25_5,01/23/2016 14:45,L1-3,25,5,3,2.926,
Chsim_01/23/Saturday 14:45:00_L1-3_25_5,01/23/2016 14:45,L1-3,25,5,4,3.142,
Chsim_01/23/Saturday 14:45:00_L1-3_29_L1,01/23/2016 14:45,L1-3,29,L1,1,26.242,
Chsim_01/23/Saturday 14:45:00_L1-3_29_L1,01/23/2016 14:45,L1-3,29,L1,2,26.132,
Chsim_01/23/Saturday 14:45:00_L1-3_29_L1,01/23/2016 14:45,L1-3,29,L1,3,26.821,
Chsim_01/23/Saturday 14:45:00_L1-3_29_L1,01/23/2016 14:45,L1-3,29,L1,4,27.498,
Chsim_01/23/Saturday 14:45:00_L1-3_29_5,01/23/2016 14:45,L1-3,29,5,1,3.483,
Chsim_01/23/Saturday 14:45:00_L1-3_29_5,01/23/2016 14:45,L1-3,29,5,2,3.384,
Chsim_01/23/Saturday 14:45:00_L1-3_29_5,01/23/2016 14:45,L1-3,29,5,3,3.274,
Chsim_01/23/Saturday 14:45:00_L1-3_29_5,01/23/2016 14:45,L1-3,29,5,4,3.188,
Chsim_01/23/Saturday 14:45:00_L1-3_31_L1,01/23/2016 14:45,L1-3,31,L1,1,25.466,
Chsim_01/23/Saturday 14:45:00_L1-3_31_L1,01/23/2016 14:45,L1-3,31,L1,2,26.013,
Chsim_01/23/Saturday 14:45:00_L1-3_31_L1,01/23/2016 14:45,L1-3,31,L1,3,26.604,
Chsim_01/23/Saturday 14:45:00_L1-3_31_L1,01/23/2016 14:45,L1-3,31,L1,4,26.089,
Chsim_01/23/Saturday 14:45:00_L1-3_31_5,01/23/2016 14:45,L1-3,31,5,1,3.235,
Chsim_01/23/Saturday 14:45:00_L1-3_31_5,01/23/2016 14:45,L1-3,31,5,2,3.766,
Chsim_01/23/Saturday 14:45:00_L1-3_31_5,01/23/2016 14:45,L1-3,31,5,3,3.080,
Chsim_01/23/Saturday 14:45:00_L1-3_31_5,01/23/2016 14:45,L1-3,31,5,4,3.216,
Chsim_01/23/Saturday 14:45:00_L1-3_32_L1,01/23/2016 14:45,L1-3,32,L1,1,22.715,
Chsim_01/23/Saturday 14:45:00_L1-3_32_L1,01/23/2016 14:45,L1-3,32,L1,2,23.633,
Chsim_01/23/Saturday 14:45:00_L1-3_32_L1,01/23/2016 14:45,L1-3,32,L1,3,24.431,
Chsim_01/23/Saturday 14:45:00_L1-3_32_L1,01/23/2016 14:45,L1-3,32,L1,4,22.673,
Chsim_01/23/Saturday 14:45:00_L1-3_32_5,01/23/2016 14:45,L1-3,32,5,1,3.268,
Chsim_01/23/Saturday 14:45:00_L1-3_32_5,01/23/2016 14:45,L1-3,32,5,2,3.656,
Chsim_01/23/Saturday 14:45:00_L1-3_32_5,01/23/2016 14:45,L1-3,32,5,3,3.637,
Chsim_01/23/Saturday 14:45:00_L1-3_32_5,01/23/2016 14:45,L1-3,32,5,4,3.356,
Chsim_01/23/Saturday 14:45:00_L1-3_34_L1,01/23/2016 14:45,L1-3,34,L1,1,11.423,
Chsim_01/23/Saturday 14:45:00_L1-3_34_L1,01/23/2016 14:45,L1-3,34,L1,2,13.266,
Chsim_01/23/Saturday 14:45:00_L1-3_34_L1,01/23/2016 14:45,L1-3,34,L1,3,12.958,
Chsim_01/23/Saturday 14:45:00_L1-3_34_L1,01/23/2016 14:45,L1-3,34,L1,4,13.259,
Chsim_01/23/Saturday 14:45:00_L1-3_34_5,01/23/2016 14:45,L1-3,34,5,1,5.191,
Chsim_01/23/Saturday 14:45:00_L1-3_34_5,01/23/2016 14:45,L1-3,34,5,2,5.423,
Chsim_01/23/Saturday 14:45:00_L1-3_34_5,01/23/2016 14:45,L1-3,34,5,3,4.422,
Chsim_01/23/Saturday 14:45:00_L1-3_34_5,01/23/2016 14:45,L1-3,34,5,4,4.617,
Chsim_01/23/Saturday 15:15:00_5-3_12_L1,01/23/2016 15:15,5-3,12,L1,1,17.009,
Chsim_01/23/Saturday 15:15:00_5-3_12_L1,01/23/2016 15:15,5-3,12,L1,2,16.470,
Chsim_01/23/Saturday 15:15:00_5-3_12_L1,01/23/2016 15:15,5-3,12,L1,3,17.970,
Chsim_01/23/Saturday 15:15:00_5-3_12_L1,01/23/2016 15:15,5-3,12,L1,4,16.784,
Chsim_01/23/Saturday 15:15:00_5-3_12_5,01/23/2016 15:15,5-3,12,5,1,5.473,
Chsim_01/23/Saturday 15:15:00_5-3_12_5,01/23/2016 15:15,5-3,12,5,2,5.465,
Chsim_01/23/Saturday 15:15:00_5-3_12_5,01/23/2016 15:15,5-3,12,5,3,5.268,
Chsim_01/23/Saturday 15:15:00_5-3_12_5,01/23/2016 15:15,5-3,12,5,4,5.550,
Chsim_01/23/Saturday 15:15:00_5-3_20_L1,01/23/2016 15:15,5-3,20,L1,1,14.337,
Chsim_01/23/Saturday 15:15:00_5-3_20_L1,01/23/2016 15:15,5-3,20,L1,2,14.508,
Chsim_01/23/Saturday 15:15:00_5-3_20_L1,01/23/2016 15:15,5-3,20,L1,3,15.733,
Chsim_01/23/Saturday 15:15:00_5-3_20_L1,01/23/2016 15:15,5-3,20,L1,4,14.872,
Chsim_01/23/Saturday 15:15:00_5-3_20_5,01/23/2016 15:15,5-3,20,5,1,3.023,
Chsim_01/23/Saturday 15:15:00_5-3_20_5,01/23/2016 15:15,5-3,20,5,2,3.209,
Chsim_01/23/Saturday 15:15:00_5-3_20_5,01/23/2016 15:15,5-3,20,5,3,3.062,
Chsim_01/23/Saturday 15:15:00_5-3_20_5,01/23/2016 15:15,5-3,20,5,4,3.069,
Chsim_01/23/Saturday 15:15:00_5-3_25_L1,01/23/2016 15:15,5-3,25,L1,1,26.573,
Chsim_01/23/Saturday 15:15:00_5-3_25_L1,01/23/2016 15:15,5-3,25,L1,2,26.589,
Chsim_01/23/Saturday 15:15:00_5-3_25_L1,01/23/2016 15:15,5-3,25,L1,3,27.446,
Chsim_01/23/Saturday 15:15:00_5-3_25_L1,01/23/2016 15:15,5-3,25,L1,4,26.991,
Chsim_01/23/Saturday 15:15:00_5-3_25_5,01/23/2016 15:15,5-3,25,5,1,3.072,
Chsim_01/23/Saturday 15:15:00_5-3_25_5,01/23/2016 15:15,5-3,25,5,2,3.318,
Chsim_01/23/Saturday 15:15:00_5-3_25_5,01/23/2016 15:15,5-3,25,5,3,3.162,
Chsim_01/23/Saturday 15:15:00_5-3_25_5,01/23/2016 15:15,5-3,25,5,4,3.193,
Chsim_01/23/Saturday 15:15:00_5-3_29_L1,01/23/2016 15:15,5-3,29,L1,1,28.624,
Chsim_01/23/Saturday 15:15:00_5-3_29_L1,01/23/2016 15:15,5-3,29,L1,2,28.678,
Chsim_01/23/Saturday 15:15:00_5-3_29_L1,01/23/2016 15:15,5-3,29,L1,3,30.489,
Chsim_01/23/Saturday 15:15:00_5-3_29_L1,01/23/2016 15:15,5-3,29,L1,4,29.385,
Chsim_01/23/Saturday 15:15:00_5-3_29_5,01/23/2016 15:15,5-3,29,5,1,3.014,
Chsim_01/23/Saturday 15:15:00_5-3_29_5,01/23/2016 15:15,5-3,29,5,2,3.675,
Chsim_01/23/Saturday 15:15:00_5-3_29_5,01/23/2016 15:15,5-3,29,5,3,3.159,
Chsim_01/23/Saturday 15:15:00_5-3_29_5,01/23/2016 15:15,5-3,29,5,4,3.165,
Chsim_01/23/Saturday 15:15:00_5-3_31_L1,01/23/2016 15:15,5-3,31,L1,1,24.400,
Chsim_01/23/Saturday 15:15:00_5-3_31_L1,01/23/2016 15:15,5-3,31,L1,2,25.005,
Chsim_01/23/Saturday 15:15:00_5-3_31_L1,01/23/2016 15:15,5-3,31,L1,3,25.461,
Chsim_01/23/Saturday 15:15:00_5-3_31_L1,01/23/2016 15:15,5-3,31,L1,4,24.489,
Chsim_01/23/Saturday 15:15:00_5-3_31_5,01/23/2016 15:15,5-3,31,5,1,3.301,
Chsim_01/23/Saturday 15:15:00_5-3_31_5,01/23/2016 15:15,5-3,31,5,2,3.472,
Chsim_01/23/Saturday 15:15:00_5-3_31_5,01/23/2016 15:15,5-3,31,5,3,3.256,
Chsim_01/23/Saturday 15:15:00_5-3_31_5,01/23/2016 15:15,5-3,31,5,4,3.304,
Chsim_01/23/Saturday 15:15:00_5-3_32_L1,01/23/2016 15:15,5-3,32,L1,1,18.966,
Chsim_01/23/Saturday 15:15:00_5-3_32_L1,01/23/2016 15:15,5-3,32,L1,2,20.151,
Chsim_01/23/Saturday 15:15:00_5-3_32_L1,01/23/2016 15:15,5-3,32,L1,3,19.588,
Chsim_01/23/Saturday 15:15:00_5-3_32_L1,01/23/2016 15:15,5-3,32,L1,4,19.136,
Chsim_01/23/Saturday 15:15:00_5-3_32_5,01/23/2016 15:15,5-3,32,5,1,3.219,
Chsim_01/23/Saturday 15:15:00_5-3_32_5,01/23/2016 15:15,5-3,32,5,2,3.600,
Chsim_01/23/Saturday 15:15:00_5-3_32_5,01/23/2016 15:15,5-3,32,5,3,3.455,
Chsim_01/23/Saturday 15:15:00_5-3_32_5,01/23/2016 15:15,5-3,32,5,4,3.116,
Chsim_01/23/Saturday 15:15:00_5-3_34_L1,01/23/2016 15:15,5-3,34,L1,1,12.098,
Chsim_01/23/Saturday 15:15:00_5-3_34_L1,01/23/2016 15:15,5-3,34,L1,2,13.190,
Chsim_01/23/Saturday 15:15:00_5-3_34_L1,01/23/2016 15:15,5-3,34,L1,3,13.317,
Chsim_01/23/Saturday 15:15:00_5-3_34_L1,01/23/2016 15:15,5-3,34,L1,4,12.135,
Chsim_01/23/Saturday 15:15:00_5-3_34_5,01/23/2016 15:15,5-3,34,5,1,5.533,
Chsim_01/23/Saturday 15:15:00_5-3_34_5,01/23/2016 15:15,5-3,34,5,2,6.687,
Chsim_01/23/Saturday 15:15:00_5-3_34_5,01/23/2016 15:15,5-3,34,5,3,5.673,
Chsim_01/23/Saturday 15:15:00_5-3_34_5,01/23/2016 15:15,5-3,34,5,4,5.793,
Chsim_01/23/Saturday 15:40:00_5-4_12_L1,01/23/2016 15:40,5-4,12,L1,1,18.427,
Chsim_01/23/Saturday 15:40:00_5-4_12_L1,01/23/2016 15:40,5-4,12,L1,2,19.407,
Chsim_01/23/Saturday 15:40:00_5-4_12_L1,01/23/2016 15:40,5-4,12,L1,3,18.945,
Chsim_01/23/Saturday 15:40:00_5-4_12_L1,01/23/2016 15:40,5-4,12,L1,4,19.106,
Chsim_01/23/Saturday 15:40:00_5-4_12_5,01/23/2016 15:40,5-4,12,5,1,4.043,
Chsim_01/23/Saturday 15:40:00_5-4_12_5,01/23/2016 15:40,5-4,12,5,2,3.998,
Chsim_01/23/Saturday 15:40:00_5-4_12_5,01/23/2016 15:40,5-4,12,5,3,4.132,
Chsim_01/23/Saturday 15:40:00_5-4_12_5,01/23/2016 15:40,5-4,12,5,4,4.038,
Chsim_01/23/Saturday 15:40:00_5-4_20_L1,01/23/2016 15:40,5-4,20,L1,1,18.722,
Chsim_01/23/Saturday 15:40:00_5-4_20_L1,01/23/2016 15:40,5-4,20,L1,2,20.187,
Chsim_01/23/Saturday 15:40:00_5-4_20_L1,01/23/2016 15:40,5-4,20,L1,3,21.302,
Chsim_01/23/Saturday 15:40:00_5-4_20_L1,01/23/2016 15:40,5-4,20,L1,4,19.570,
Chsim_01/23/Saturday 15:40:00_5-4_20_5,01/23/2016 15:40,5-4,20,5,1,3.150,
Chsim_01/23/Saturday 15:40:00_5-4_20_5,01/23/2016 15:40,5-4,20,5,2,3.319,
Chsim_01/23/Saturday 15:40:00_5-4_20_5,01/23/2016 15:40,5-4,20,5,3,3.188,
Chsim_01/23/Saturday 15:40:00_5-4_20_5,01/23/2016 15:40,5-4,20,5,4,3.263,
Chsim_01/23/Saturday 15:40:00_5-4_25_L1,01/23/2016 15:40,5-4,25,L1,1,27.141,
Chsim_01/23/Saturday 15:40:00_5-4_25_L1,01/23/2016 15:40,5-4,25,L1,2,28.800,
Chsim_01/23/Saturday 15:40:00_5-4_25_L1,01/23/2016 15:40,5-4,25,L1,3,27.090,
Chsim_01/23/Saturday 15:40:00_5-4_25_L1,01/23/2016 15:40,5-4,25,L1,4,28.365,
Chsim_01/23/Saturday 15:40:00_5-4_25_5,01/23/2016 15:40,5-4,25,5,1,3.248,
Chsim_01/23/Saturday 15:40:00_5-4_25_5,01/23/2016 15:40,5-4,25,5,2,3.372,
Chsim_01/23/Saturday 15:40:00_5-4_25_5,01/23/2016 15:40,5-4,25,5,3,3.397,
Chsim_01/23/Saturday 15:40:00_5-4_25_5,01/23/2016 15:40,5-4,25,5,4,3.350,
Chsim_01/23/Saturday 15:40:00_5-4_29_L1,01/23/2016 15:40,5-4,29,L1,1,29.646,
Chsim_01/23/Saturday 15:40:00_5-4_29_L1,01/23/2016 15:40,5-4,29,L1,2,30.951,
